20090404|2009-04-04|Saturday|Weekend|Apr|2|2009
20090405|2009-04-05|Sunday|Weekend|Apr|2|2009
20090406|2009-04-06|Monday|Weekday|Apr|2|2009
20090407|2009-04-07|Tuesday|Weekday|Apr|2|2009
20090408|2009-04-08|Wednesday|Weekday|Apr|2|2009
20090409|2009-04-09|Thursday|Weekday|Apr|2|2009
20090410|2009-04-10|Friday|Weekday|Apr|2|2009
20090411|2009-04-11|Saturday|Weekend|Apr|2|2009
20090412|2009-04-12|Sunday|Weekend|Apr|2|2009
20090413|2009-04-13|Monday|Weekday|Apr|2|2009
20090414|2009-04-14|Tuesday|Weekday|Apr|2|2009
20090415|2009-04-15|Wednesday|Weekday|Apr|2|2009
20090416|2009-04-16|Thursday|Weekday|Apr|2|2009
20090417|2009-04-17|Friday|Weekday|Apr|2|2009
20090418|2009-04-18|Saturday|Weekend|Apr|2|2009
20090419|2009-04-19|Sunday|Weekend|Apr|2|2009
20090420|2009-04-20|Monday|Weekday|Apr|2|2009
20090421|2009-04-21|Tuesday|Weekday|Apr|2|2009
20090422|2009-04-22|Wednesday|Weekday|Apr|2|2009
20090423|2009-04-23|Thursday|Weekday|Apr|2|2009
20090424|2009-04-24|Friday|Weekday|Apr|2|2009
20090425|2009-04-25|Saturday|Weekend|Apr|2|2009
20090426|2009-04-26|Sunday|Weekend|Apr|2|2009
20090427|2009-04-27|Monday|Weekday|Apr|2|2009
20090428|2009-04-28|Tuesday|Weekday|Apr|2|2009
20090429|2009-04-29|Wednesday|Weekday|Apr|2|2009
20090430|2009-04-30|Thursday|Weekday|Apr|2|2009
20090501|2009-05-01|Friday|Weekday|May|2|2009
20090502|2009-05-02|Saturday|Weekend|May|2|2009
20090503|2009-05-03|Sunday|Weekend|May|2|2009
20090504|2009-05-04|Monday|Weekday|May|2|2009
20090505|2009-05-05|Tuesday|Weekday|May|2|2009
20090506|2009-05-06|Wednesday|Weekday|May|2|2009
20090507|2009-05-07|Thursday|Weekday|May|2|2009
20090508|2009-05-08|Friday|Weekday|May|2|2009
20090509|2009-05-09|Saturday|Weekend|May|2|2009
20090510|2009-05-10|Sunday|Weekend|May|2|2009
20090511|2009-05-11|Monday|Weekday|May|2|2009
20090512|2009-05-12|Tuesday|Weekday|May|2|2009
20090513|2009-05-13|Wednesday|Weekday|May|2|2009
20090514|2009-05-14|Thursday|Weekday|May|2|2009
20090515|2009-05-15|Friday|Weekday|May|2|2009
20090516|2009-05-16|Saturday|Weekend|May|2|2009
20090517|2009-05-17|Sunday|Weekend|May|2|2009
20090518|2009-05-18|Monday|Weekday|May|2|2009
20090519|2009-05-19|Tuesday|Weekday|May|2|2009
20090520|2009-05-20|Wednesday|Weekday|May|2|2009
20090521|2009-05-21|Thursday|Weekday|May|2|2009
20090522|2009-05-22|Friday|Weekday|May|2|2009
20090523|2009-05-23|Saturday|Weekend|May|2|2009
20090524|2009-05-24|Sunday|Weekend|May|2|2009
20090525|2009-05-25|Monday|Weekday|May|2|2009
20090526|2009-05-26|Tuesday|Weekday|May|2|2009
20090527|2009-05-27|Wednesday|Weekday|May|2|2009
20090528|2009-05-28|Thursday|Weekday|May|2|2009
20090529|2009-05-29|Friday|Weekday|May|2|2009
20090530|2009-05-30|Saturday|Weekend|May|2|2009
20090531|2009-05-31|Sunday|Weekend|May|2|2009
20090601|2009-06-01|Monday|Weekday|Jun|2|2009
20090602|2009-06-02|Tuesday|Weekday|Jun|2|2009
20090603|2009-06-03|Wednesday|Weekday|Jun|2|2009
20090604|2009-06-04|Thursday|Weekday|Jun|2|2009
20090605|2009-06-05|Friday|Weekday|Jun|2|2009
20090606|2009-06-06|Saturday|Weekend|Jun|2|2009
20090607|2009-06-07|Sunday|Weekend|Jun|2|2009
20090608|2009-06-08|Monday|Weekday|Jun|2|2009
20090609|2009-06-09|Tuesday|Weekday|Jun|2|2009
20090610|2009-06-10|Wednesday|Weekday|Jun|2|2009
20090611|2009-06-11|Thursday|Weekday|Jun|2|2009
20090612|2009-06-12|Friday|Weekday|Jun|2|2009
20090613|2009-06-13|Saturday|Weekend|Jun|2|2009
20090614|2009-06-14|Sunday|Weekend|Jun|2|2009
20090615|2009-06-15|Monday|Weekday|Jun|2|2009
20090616|2009-06-16|Tuesday|Weekday|Jun|2|2009
20090617|2009-06-17|Wednesday|Weekday|Jun|2|2009
20090618|2009-06-18|Thursday|Weekday|Jun|2|2009
20090619|2009-06-19|Friday|Weekday|Jun|2|2009
20090620|2009-06-20|Saturday|Weekend|Jun|2|2009
20090621|2009-06-21|Sunday|Weekend|Jun|2|2009
20090622|2009-06-22|Monday|Weekday|Jun|2|2009
20090623|2009-06-23|Tuesday|Weekday|Jun|2|2009
20090624|2009-06-24|Wednesday|Weekday|Jun|2|2009
20090625|2009-06-25|Thursday|Weekday|Jun|2|2009
20090626|2009-06-26|Friday|Weekday|Jun|2|2009
